Year,TSU,EQ,Name,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,Latitude,Longitude,Country
Jul 2015,,,Manam,1807,Stratovolcano,Historical,D1,2,,,,,,2,1,,1,,,,,,,2,1,,1,,,-4.1,145.061,Papua New Guinea
Oct 2015,,,Sinabung,2460,Stratovolcano,Holocene,U,,M,1,1,,,,,,1,,,1,1,,,,,,1,,,3.17,98.392,Indonesia
Oct 2015,,,Okataina,1111,Lava dome,Historical,D1,,I,1,1,,,,,,,,,1,1,,,,,,,,,-38.12,176.5,New Zealand
May 2016,,,Sinabung,2460,Stratovolcano,Holocene,U,,,1,1,,,4,1,,1,3,1,1,1,,,4,1,,1,,,3.17,98.392,Indonesia
May 2016,,,Sinabung,2460,Stratovolcano,Holocene,U,,,7,1,,,3,1,100,4,,,7,1,,,3,1,100,4,,,3.17,98.392,Indonesia
Jun 2016,,,Yellowstone,2805,Caldera,Tephrochronology,D7,,,1,1,,,,,,,,,1,1,,,,,,,,,44.43,-110.67,United States
Sep 2016,,,Rinjani,3726,Stratovolcano,Historical,D1,,,,,44,1,,,,,,,,,44,1,,,,,,,-8.42,116.47,Indonesia
Oct 2016,,,Aso,1592,Caldera,Historical,D1,,T,,,,,,,,1,,,,,,,,,,1,,,32.88,131.1,Japan
Mar 2017,,,Etna,3350,Stratovolcano,Historical,D1,,P,,,,,10,1,,,,,,,,,10,1,,,,,37.734,15.004,Italy
Apr 2017,,,Sinabung,2460,Stratovolcano,Holocene,U,2,P,,,,,,,,1,,2,,,,,,,,1,,2,3.17,98.392,Indonesia
Jun 2017,,,Fuego,3763,Stratovolcano,Historical,D1,2,P,,,,,,,,2,,,,,,,,,,2,,,14.473,-90.88,Guatemala
Jul 2017,,,Dieng Volc Complex,2565,Complex volcano,Historical,D1,,,8,1,,,11,1,,,,,8,1,,,11,1,,,,,-7.2,109.92,Indonesia
Sep 2017,,,Campi Flegrei,458,Caldera,Historical,D5,,,3,1,,,,,,,,,3,1,,,,,,,,,40.827,14.139,Italy
Sep 2017,,,Aoba,1496,Shield volcano,Historical,D1,,T,,,,,,,,1,,,,,,,,,,1,,,-15.4,167.83,Vanuatu
Dec 2017,,,Merapi,2947,Stratovolcano,Historical,D1,,A,8,1,,,8,1,,,,,8,1,,,8,1,,,,,-7.542,110.442,Indonesia
Dec 2017,,,Sinabung,2460,Stratovolcano,Holocene,U,,T,,,,,,,,2,,,,,,,,,,2,,,3.17,98.392,Indonesia
Jan 2018,,,Kadovar,365,Stratovolcano,Holocene,U,,T,,,,,,,,1,,,,,,,,,,1,,,-3.62,144.62,Papua New Guinea
Jan 2018,,,Mayon,2462,Stratovolcano,Historical,D1,,"T,P",,,,,1972,4,3.72,2,,,,,,,1972,4,3.72,2,,,13.257,123.685,Philippines
Jan 2018,,,Kusatsu-Shirane,2176,Stratovolcano,Historical,D1,,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,,36.62,138.55,Japan
Feb 2018,,,Kilauea,1222,Shield volcano,Historical,D1,1,G,1,1,,,3,1,,,,,1,1,,,3,1,,,,,19.425,-155.292,United States
Feb 2018,TSU,,Kadovar,365,Stratovolcano,Holocene,U,,W,,,,,,,,,,,,,,,,,,,,,-3.62,144.62,Papua New Guinea
Mar 2018,,,Ijen,2799,Stratovolcano,Historical,D1,,G,,,,,30,1,,,,,,,,,30,1,,,,,-8.058,114.242,Indonesia
Apr 2018,,,Kilauea,1222,Shield volcano,Historical,D1,1,L,,,,,,,,1,2,1,,,,,,,,1,2,1,19.425,-155.292,United States
Apr 2018,,,Aoba,1496,Shield volcano,Historical,D1,3,"T,G",4,1,,,,,,1,,1,4,1,,,,,,1,,1,-15.4,167.83,Vanuatu
